Rk,Year,Team,NRtg
1,2023,Boston Celtics,6.70
2,2023,Cleveland Cavaliers,5.62
3,2023,Philadelphia 76ers,4.35
4,2023,Memphis Grizzlies,3.93
5,2023,Milwaukee Bucks,3.49
6,2023,New York Knicks,3.03
7,2023,Denver Nuggets,3.34
8,2023,Sacramento Kings,2.49
9,2023,Phoenix Suns,2.12
10,2023,Toronto Raptors,1.51
11,2023,New Orleans Pelicans,1.88
12,2023,Golden State Warriors,1.75
13,2023,Chicago Bulls,1.36
14,2023,Brooklyn Nets,1.00
15,2023,Oklahoma City Thunder,1.03
16,2023,Los Angeles Lakers,0.55
17,2023,Atlanta Hawks,0.29
18,2023,Los Angeles Clippers,0.51
19,2023,Dallas Mavericks,0.06
20,2023,Minnesota Timberwolves,0.02
21,2023,Miami Heat,-0.41
22,2023,Utah Jazz,-1.02
23,2023,Washington Wizards,-1.28
24,2023,Orlando Magic,-2.57
25,2023,Indiana Pacers,-3.16
26,2023,Portland Trail Blazers,-4.11
27,2023,Charlotte Hornets,-6.28
28,2023,Houston Rockets,-8.02
29,2023,Detroit Pistons,-8.33
30,2023,San Antonio Spurs,-9.85
1,2022,Boston Celtics,7.66
2,2022,Phoenix Suns,7.48
3,2022,Utah Jazz,6.16
4,2022,Golden State Warriors,5.65
5,2022,Memphis Grizzlies,5.56
6,2022,Miami Heat,4.62
7,2022,Dallas Mavericks,3.55
8,2022,Milwaukee Bucks,3.31
9,2022,Philadelphia 76ers,2.59
10,2022,Toronto Raptors,2.38
11,2022,Minnesota Timberwolves,2.54
12,2022,Denver Nuggets,2.33
13,2022,Cleveland Cavaliers,2.13
14,2022,Atlanta Hawks,1.58
15,2022,Brooklyn Nets,0.76
16,2022,Charlotte Hornets,0.50
17,2022,New York Knicks,-0.08
18,2022,Los Angeles Clippers,-0.06
19,2022,San Antonio Spurs,0.03
20,2022,Chicago Bulls,-0.48
21,2022,New Orleans Pelicans,-0.98
22,2022,Los Angeles Lakers,-3.02
23,2022,Indiana Pacers,-3.51
24,2022,Washington Wizards,-3.61
25,2022,Sacramento Kings,-5.59
26,2022,Detroit Pistons,-7.71
27,2022,Orlando Magic,-8.00
28,2022,Oklahoma City Thunder,-8.18
29,2022,Houston Rockets,-8.49
30,2022,Portland Trail Blazers,-9.13
1,2021,Utah Jazz,9.48
2,2021,Los Angeles Clippers,6.26
3,2021,Phoenix Suns,5.87
4,2021,Milwaukee Bucks,5.65
5,2021,Philadelphia 76ers,5.62
6,2021,Denver Nuggets,5.03
7,2021,Brooklyn Nets,4.52
8,2021,Los Angeles Lakers,2.68
9,2021,Dallas Mavericks,2.37
10,2021,New York Knicks,2.41
11,2021,Atlanta Hawks,2.38
12,2021,Portland Trail Blazers,1.70
13,2021,Boston Celtics,1.37
14,2021,Golden State Warriors,1.09
15,2021,Memphis Grizzlies,1.00
16,2021,Miami Heat,0.13
17,2021,Indiana Pacers,0.02
18,2021,New Orleans Pelicans,-0.32
19,2021,Toronto Raptors,-0.48
20,2021,Chicago Bulls,-0.91
21,2021,San Antonio Spurs,-1.74
22,2021,Washington Wizards,-1.88
23,2021,Charlotte Hornets,-2.07
24,2021,Sacramento Kings,-3.60
25,2021,Detroit Pistons,-4.63
26,2021,Minnesota Timberwolves,-5.36
27,2021,Houston Rockets,-7.84
28,2021,Cleveland Cavaliers,-8.80
29,2021,Orlando Magic,-9.48
30,2021,Oklahoma City Thunder,-10.48
1,2020,Milwaukee Bucks,9.62
2,2020,Los Angeles Clippers,6.41
3,2020,Los Angeles Lakers,5.65
4,2020,Toronto Raptors,6.18
5,2020,Boston Celtics,6.35
6,2020,Dallas Mavericks,4.97
7,2020,Houston Rockets,2.89
8,2020,Utah Jazz,2.66
9,2020,Miami Heat,2.93
10,2020,Oklahoma City Thunder,2.09
11,2020,Denver Nuggets,2.15
12,2020,Philadelphia 76ers,2.32
13,2020,Indiana Pacers,2.12
14,2020,Phoenix Suns,0.11
15,2020,New Orleans Pelicans,-1.20
16,2020,Portland Trail Blazers,-1.15
17,2020,San Antonio Spurs,-1.20
18,2020,Memphis Grizzlies,-0.94
19,2020,Brooklyn Nets,-0.57
20,2020,Orlando Magic,-1.18
21,2020,Sacramento Kings,-1.94
22,2020,Minnesota Timberwolves,-4.12
23,2020,Chicago Bulls,-3.14
24,2020,Detroit Pistons,-3.63
25,2020,Washington Wizards,-4.46
26,2020,New York Knicks,-6.42
27,2020,Charlotte Hornets,-6.89
28,2020,Atlanta Hawks,-7.61
29,2020,Cleveland Cavaliers,-8.05
30,2020,Golden State Warriors,-8.74
1,2019,Milwaukee Bucks,8.47
2,2019,Golden State Warriors,6.39
3,2019,Toronto Raptors,5.99
4,2019,Utah Jazz,5.24
5,2019,Houston Rockets,4.82
6,2019,Portland Trail Blazers,4.38
7,2019,Denver Nuggets,4.14
8,2019,Boston Celtics,4.43
9,2019,Oklahoma City Thunder,3.31
10,2019,Indiana Pacers,3.39
11,2019,Philadelphia 76ers,2.64
12,2019,San Antonio Spurs,1.75
13,2019,Los Angeles Clippers,0.81
14,2019,Orlando Magic,0.65
15,2019,Miami Heat,-0.13
16,2019,Brooklyn Nets,-0.06
17,2019,Detroit Pistons,-0.20
18,2019,Sacramento Kings,-1.02
19,2019,Dallas Mavericks,-1.22
20,2019,Minnesota Timberwolves,-1.51
21,2019,New Orleans Pelicans,-1.25
22,2019,Los Angeles Lakers,-1.66
23,2019,Charlotte Hornets,-1.06
24,2019,Memphis Grizzlies,-2.70
25,2019,Washington Wizards,-2.84
26,2019,Atlanta Hawks,-5.70
27,2019,Chicago Bulls,-8.49
28,2019,Phoenix Suns,-9.26
29,2019,New York Knicks,-9.26
30,2019,Cleveland Cavaliers,-10.04
1,2018,Houston Rockets,8.64
2,2018,Toronto Raptors,8.03
3,2018,Golden State Warriors,5.88
4,2018,Utah Jazz,4.51
5,2018,Philadelphia 76ers,4.51
6,2018,Oklahoma City Thunder,3.47
7,2018,Boston Celtics,3.75
8,2018,San Antonio Spurs,3.13
9,2018,Portland Trail Blazers,2.66
10,2018,Minnesota Timberwolves,2.38
11,2018,Denver Nuggets,1.62
12,2018,New Orleans Pelicans,1.24
13,2018,Indiana Pacers,1.44
14,2018,Cleveland Cavaliers,1.02
15,2018,Washington Wizards,0.55
16,2018,Miami Heat,0.51
17,2018,Los Angeles Clippers,-0.05
18,2018,Charlotte Hornets,0.23
19,2018,Detroit Pistons,-0.19
20,2018,Milwaukee Bucks,-0.31
21,2018,Los Angeles Lakers,-1.54
22,2018,Dallas Mavericks,-3.08
23,2018,New York Knicks,-3.65
24,2018,Brooklyn Nets,-3.80
25,2018,Orlando Magic,-5.02
26,2018,Atlanta Hawks,-5.47
27,2018,Memphis Grizzlies,-6.57
28,2018,Chicago Bulls,-7.22
29,2018,Sacramento Kings,-7.43
30,2018,Phoenix Suns,-9.26
1,2017,Golden State Warriors,11.69
2,2017,San Antonio Spurs,7.56
3,2017,Houston Rockets,5.63
4,2017,Los Angeles Clippers,4.50
5,2017,Utah Jazz,4.27
6,2017,Toronto Raptors,4.51
7,2017,Cleveland Cavaliers,3.27
8,2017,Boston Celtics,2.72
9,2017,Washington Wizards,1.92
10,2017,Oklahoma City Thunder,0.78
11,2017,Memphis Grizzlies,0.70
12,2017,Miami Heat,1.09
13,2017,Denver Nuggets,0.47
14,2017,Charlotte Hornets,0.25
15,2017,Chicago Bulls,0.32
16,2017,Portland Trail Blazers,-0.53
17,2017,Milwaukee Bucks,-0.23
18,2017,Indiana Pacers,-0.16
19,2017,Minnesota Timberwolves,-1.20
20,2017,Atlanta Hawks,-0.99
21,2017,Detroit Pistons,-1.37
22,2017,New Orleans Pelicans,-2.20
23,2017,Dallas Mavericks,-3.08
24,2017,Sacramento Kings,-4.21
25,2017,New York Knicks,-3.77
26,2017,Phoenix Suns,-5.47
27,2017,Philadelphia 76ers,-5.85
28,2017,Los Angeles Lakers,-7.02
29,2017,Brooklyn Nets,-6.73
30,2017,Orlando Magic,-6.88
1,2016,San Antonio Spurs,11.49
2,2016,Golden State Warriors,10.86
3,2016,Oklahoma City Thunder,7.54
4,2016,Cleveland Cavaliers,6.48
5,2016,Toronto Raptors,4.95
6,2016,Los Angeles Clippers,4.47
7,2016,Atlanta Hawks,3.75
8,2016,Boston Celtics,3.20
9,2016,Charlotte Hornets,2.71
10,2016,Utah Jazz,2.04
11,2016,Indiana Pacers,1.77
12,2016,Miami Heat,1.67
13,2016,Portland Trail Blazers,0.88
14,2016,Detroit Pistons,0.59
15,2016,Houston Rockets,0.13
16,2016,Dallas Mavericks,-0.19
17,2016,Washington Wizards,-0.39
18,2016,Chicago Bulls,-1.43
19,2016,Orlando Magic,-1.74
20,2016,Memphis Grizzlies,-2.33
21,2016,Sacramento Kings,-2.50
22,2016,Denver Nuggets,-3.25
23,2016,New York Knicks,-3.03
24,2016,New Orleans Pelicans,-3.89
25,2016,Minnesota Timberwolves,-3.86
26,2016,Milwaukee Bucks,-4.59
27,2016,Phoenix Suns,-6.86
28,2016,Brooklyn Nets,-7.86
29,2016,Los Angeles Lakers,-10.12
30,2016,Philadelphia 76ers,-10.50
1,2015,Golden State Warriors,10.32
2,2015,Los Angeles Clippers,6.98
3,2015,San Antonio Spurs,6.64
4,2015,Atlanta Hawks,6.02
5,2015,Portland Trail Blazers,4.50
6,2015,Cleveland Cavaliers,4.80
7,2015,Houston Rockets,3.61
8,2015,Memphis Grizzlies,3.55
9,2015,Dallas Mavericks,3.16
10,2015,Chicago Bulls,3.37
11,2015,Toronto Raptors,3.37
12,2015,Oklahoma City Thunder,2.24
13,2015,New Orleans Pelicans,0.80
14,2015,Utah Jazz,0.28
15,2015,Washington Wizards,0.83
16,2015,Indiana Pacers,0.40
17,2015,Milwaukee Bucks,0.38
18,2015,Phoenix Suns,-0.92
19,2015,Boston Celtics,0.15
20,2015,Detroit Pistons,-1.14
21,2015,Denver Nuggets,-3.57
22,2015,Sacramento Kings,-3.94
23,2015,Brooklyn Nets,-3.05
24,2015,Miami Heat,-3.05
25,2015,Charlotte Hornets,-3.52
26,2015,Orlando Magic,-6.07
27,2015,Los Angeles Lakers,-7.36
28,2015,Minnesota Timberwolves,-9.36
29,2015,Philadelphia 76ers,-9.31
30,2015,New York Knicks,-10.13
1,2014,San Antonio Spurs,8.16
2,2014,Los Angeles Clippers,7.25
3,2014,Oklahoma City Thunder,6.71
4,2014,Golden State Warriors,4.98
5,2014,Houston Rockets,4.65
6,2014,Miami Heat,5.38
7,2014,Portland Trail Blazers,4.22
8,2014,Indiana Pacers,4.65
9,2014,Dallas Mavericks,2.71
10,2014,Minnesota Timberwolves,2.70
11,2014,Phoenix Suns,2.72
12,2014,Toronto Raptors,3.62
13,2014,Memphis Grizzlies,1.66
14,2014,Chicago Bulls,2.09
15,2014,Washington Wizards,1.30
16,2014,Atlanta Hawks,-0.56
17,2014,Charlotte Bobcats,-0.29
18,2014,New York Knicks,-0.70
19,2014,Denver Nuggets,-2.20
20,2014,Brooklyn Nets,-1.21
21,2014,New Orleans Pelicans,-2.92
22,2014,Sacramento Kings,-3.24
23,2014,Cleveland Cavaliers,-3.56
24,2014,Detroit Pistons,-3.92
25,2014,Los Angeles Lakers,-6.13
26,2014,Boston Celtics,-4.81
27,2014,Orlando Magic,-5.96
28,2014,Utah Jazz,-7.85
29,2014,Milwaukee Bucks,-9.00
30,2014,Philadelphia 76ers,-10.44
1,2013,Oklahoma City Thunder,9.95
2,2013,Miami Heat,8.67
3,2013,San Antonio Spurs,6.85
4,2013,Los Angeles Clippers,7.16
5,2013,Denver Nuggets,5.26
6,2013,Memphis Grizzlies,4.74
7,2013,New York Knicks,4.91
8,2013,Houston Rockets,3.75
9,2013,Indiana Pacers,4.33
10,2013,Los Angeles Lakers,1.27
11,2013,Golden State Warriors,1.06
12,2013,Brooklyn Nets,1.96
13,2013,Utah Jazz,-0.08
14,2013,Chicago Bulls,0.36
15,2013,Dallas Mavericks,-0.48
16,2013,Atlanta Hawks,0.37
17,2013,Boston Celtics,-0.32
18,2013,Toronto Raptors,-1.40
19,2013,Minnesota Timberwolves,-2.63
20,2013,Milwaukee Bucks,-1.74
21,2013,Portland Trail Blazers,-3.56
22,2013,Washington Wizards,-2.82
23,2013,New Orleans Hornets,-4.34
24,2013,Philadelphia 76ers,-3.68
25,2013,Sacramento Kings,-5.30
26,2013,Detroit Pistons,-4.46
27,2013,Cleveland Cavaliers,-5.07
28,2013,Phoenix Suns,-6.82
29,2013,Orlando Magic,-7.70
30,2013,Charlotte Bobcats,-10.17
1,2012,Chicago Bulls,9.33
2,2012,San Antonio Spurs,7.62
3,2012,Oklahoma City Thunder,6.56
4,2012,Miami Heat,6.56
5,2012,Philadelphia 76ers,4.70
6,2012,Denver Nuggets,2.99
7,2012,Los Angeles Clippers,2.80
8,2012,Indiana Pacers,3.69
9,2012,Atlanta Hawks,3.70
10,2012,New York Knicks,3.64
11,2012,Memphis Grizzlies,2.24
12,2012,Boston Celtics,2.78
13,2012,Los Angeles Lakers,1.55
14,2012,Dallas Mavericks,1.07
15,2012,Utah Jazz,0.60
16,2012,Houston Rockets,0.31
17,2012,Phoenix Suns,-0.13
18,2012,Orlando Magic,0.78
19,2012,Milwaukee Bucks,0.34
20,2012,Portland Trail Blazers,-0.69
21,2012,Minnesota Timberwolves,-2.15
22,2012,Golden State Warriors,-3.69
23,2012,New Orleans Hornets,-4.16
24,2012,Toronto Raptors,-3.74
25,2012,Sacramento Kings,-5.98
26,2012,Washington Wizards,-5.28
27,2012,Detroit Pistons,-5.35
28,2012,New Jersey Nets,-6.75
29,2012,Cleveland Cavaliers,-7.92
30,2012,Charlotte Bobcats,-15.41
1,2011,Miami Heat,8.27
2,2011,Chicago Bulls,8.23
3,2011,Los Angeles Lakers,6.61
4,2011,San Antonio Spurs,6.07
5,2011,Orlando Magic,5.91
6,2011,Boston Celtics,5.90
7,2011,Denver Nuggets,4.82
8,2011,Dallas Mavericks,4.49
9,2011,Oklahoma City Thunder,4.14
10,2011,Memphis Grizzlies,2.55
11,2011,Houston Rockets,2.35
12,2011,Portland Trail Blazers,1.85
13,2011,New Orleans Hornets,1.06
14,2011,Philadelphia 76ers,1.60
15,2011,New York Knicks,0.84
16,2011,Phoenix Suns,-0.94
17,2011,Milwaukee Bucks,-1.00
18,2011,Atlanta Hawks,-0.95
19,2011,Indiana Pacers,-1.20
20,2011,Utah Jazz,-2.10
21,2011,Golden State Warriors,-2.43
22,2011,Los Angeles Clippers,-3.54
23,2011,Detroit Pistons,-4.13
24,2011,Charlotte Bobcats,-4.60
25,2011,Sacramento Kings,-5.65
26,2011,Minnesota Timberwolves,-6.85
27,2011,Toronto Raptors,-6.72
28,2011,New Jersey Nets,-6.95
29,2011,Washington Wizards,-7.81
30,2011,Cleveland Cavaliers,-9.81
1,2010,Orlando Magic,8.13
2,2010,Cleveland Cavaliers,7.21
3,2010,Utah Jazz,5.76
4,2010,San Antonio Spurs,5.44
5,2010,Los Angeles Lakers,4.93
6,2010,Phoenix Suns,5.16
7,2010,Atlanta Hawks,5.00
8,2010,Denver Nuggets,4.11
9,2010,Oklahoma City Thunder,3.75
10,2010,Portland Trail Blazers,3.88
11,2010,Boston Celtics,4.03
12,2010,Dallas Mavericks,2.84
13,2010,Miami Heat,2.57
14,2010,Milwaukee Bucks,1.94
15,2010,Charlotte Bobcats,1.39
16,2010,Houston Rockets,-0.42
17,2010,Memphis Grizzlies,-1.64
18,2010,Toronto Raptors,-1.69
19,2010,Chicago Bulls,-1.79
20,2010,New Orleans Hornets,-2.73
21,2010,Indiana Pacers,-3.04
22,2010,Golden State Warriors,-3.61
23,2010,New York Knicks,-3.98
24,2010,Sacramento Kings,-4.76
25,2010,Philadelphia 76ers,-4.42
26,2010,Washington Wizards,-5.30
27,2010,Detroit Pistons,-5.82
28,2010,Los Angeles Clippers,-6.95
29,2010,Minnesota Timberwolves,-9.97
30,2010,New Jersey Nets,-10.02
1,2009,Cleveland Cavaliers,10.09
2,2009,Boston Celtics,8.24
3,2009,Los Angeles Lakers,8.14
4,2009,Orlando Magic,7.08
5,2009,Portland Trail Blazers,6.06
6,2009,Houston Rockets,4.55
7,2009,San Antonio Spurs,4.17
8,2009,Denver Nuggets,3.35
9,2009,Utah Jazz,2.96
10,2009,Atlanta Hawks,1.84
11,2009,Dallas Mavericks,2.06
12,2009,Phoenix Suns,1.89
13,2009,New Orleans Hornets,1.68
14,2009,Miami Heat,0.06
15,2009,Philadelphia 76ers,0.00
16,2009,Chicago Bulls,-0.22
17,2009,Detroit Pistons,-0.58
18,2009,Indiana Pacers,-1.12
19,2009,Milwaukee Bucks,-1.18
20,2009,Charlotte Bobcats,-1.59
21,2009,New York Knicks,-2.71
22,2009,New Jersey Nets,-2.71
23,2009,Toronto Raptors,-2.97
24,2009,Golden State Warriors,-3.82
25,2009,Minnesota Timberwolves,-5.43
26,2009,Memphis Grizzlies,-6.12
27,2009,Oklahoma City Thunder,-6.47
28,2009,Washington Wizards,-8.26
29,2009,Sacramento Kings,-9.34
30,2009,Los Angeles Clippers,-9.65
1,2008,Boston Celtics,11.35
2,2008,Los Angeles Lakers,7.63
3,2008,Detroit Pistons,8.45
4,2008,Utah Jazz,7.47
5,2008,New Orleans Hornets,5.77
6,2008,San Antonio Spurs,5.37
7,2008,Houston Rockets,5.30
8,2008,Phoenix Suns,5.27
9,2008,Dallas Mavericks,5.08
10,2008,Orlando Magic,5.86
11,2008,Denver Nuggets,3.51
12,2008,Toronto Raptors,3.60
13,2008,Golden State Warriors,2.22
14,2008,Philadelphia 76ers,0.47
15,2008,Portland Trail Blazers,-1.10
16,2008,Cleveland Cavaliers,-0.49
17,2008,Washington Wizards,-0.36
18,2008,Indiana Pacers,-1.51
19,2008,Sacramento Kings,-2.45
20,2008,Atlanta Hawks,-1.92
21,2008,Chicago Bulls,-3.26
22,2008,Charlotte Bobcats,-4.83
23,2008,New Jersey Nets,-5.64
24,2008,Memphis Grizzlies,-6.62
25,2008,Minnesota Timberwolves,-7.54
26,2008,New York Knicks,-7.11
27,2008,Los Angeles Clippers,-8.14
28,2008,Milwaukee Bucks,-7.68
29,2008,Seattle SuperSonics,-8.99
30,2008,Miami Heat,-9.68
1,2007,San Antonio Spurs,9.47
2,2007,Dallas Mavericks,8.20
3,2007,Phoenix Suns,7.78
4,2007,Houston Rockets,5.33
5,2007,Chicago Bulls,5.39
6,2007,Detroit Pistons,4.93
7,2007,Cleveland Cavaliers,4.05
8,2007,Utah Jazz,3.25
9,2007,Denver Nuggets,1.62
10,2007,Toronto Raptors,1.36
11,2007,Orlando Magic,0.96
12,2007,Los Angeles Lakers,-0.19
13,2007,Golden State Warriors,-0.22
14,2007,Los Angeles Clippers,-0.65
15,2007,Washington Wizards,-0.71
16,2007,New Jersey Nets,-0.97
17,2007,Sacramento Kings,-1.80
18,2007,New Orleans/Oklahoma City Hornets,-1.83
19,2007,Miami Heat,-1.12
20,2007,Indiana Pacers,-2.51
21,2007,Seattle SuperSonics,-3.31
22,2007,New York Knicks,-3.14
23,2007,Minnesota Timberwolves,-4.06
24,2007,Philadelphia 76ers,-3.35
25,2007,Boston Celtics,-3.89
26,2007,Portland Trail Blazers,-4.85
27,2007,Charlotte Bobcats,-4.04
28,2007,Milwaukee Bucks,-4.71
29,2007,Memphis Grizzlies,-5.58
30,2007,Atlanta Hawks,-5.41
1,2006,San Antonio Spurs,7.70
2,2006,Detroit Pistons,7.69
3,2006,Dallas Mavericks,7.14
4,2006,Phoenix Suns,5.82
5,2006,Memphis Grizzlies,4.42
6,2006,Miami Heat,4.19
7,2006,Los Angeles Lakers,2.67
8,2006,Cleveland Cavaliers,2.48
9,2006,Los Angeles Clippers,1.85
10,2006,Indiana Pacers,2.30
11,2006,Washington Wizards,2.08
12,2006,Sacramento Kings,1.65
13,2006,New Jersey Nets,1.42
14,2006,Chicago Bulls,0.64
15,2006,Denver Nuggets,0.15
16,2006,Golden State Warriors,-1.44
17,2006,Milwaukee Bucks,-1.17
18,2006,Orlando Magic,-1.26
19,2006,Houston Rockets,-2.02
20,2006,Boston Celtics,-1.73
21,2006,Minnesota Timberwolves,-2.13
22,2006,Philadelphia 76ers,-2.10
23,2006,Utah Jazz,-2.96
24,2006,New Orleans/Oklahoma City Hornets,-3.27
25,2006,Toronto Raptors,-3.12
26,2006,Seattle SuperSonics,-3.45
27,2006,Charlotte Bobcats,-4.33
28,2006,Atlanta Hawks,-5.26
29,2006,New York Knicks,-7.14
30,2006,Portland Trail Blazers,-10.81
1,2005,San Antonio Spurs,8.85
2,2005,Phoenix Suns,7.49
3,2005,Dallas Mavericks,6.44
4,2005,Miami Heat,7.33
5,2005,Houston Rockets,4.46
6,2005,Detroit Pistons,4.42
7,2005,Seattle SuperSonics,2.68
8,2005,Memphis Grizzlies,2.61
9,2005,Sacramento Kings,2.26
10,2005,Denver Nuggets,1.93
11,2005,Minnesota Timberwolves,1.64
12,2005,Chicago Bulls,1.13
13,2005,Indiana Pacers,0.91
14,2005,Boston Celtics,0.91
15,2005,Cleveland Cavaliers,0.89
16,2005,Los Angeles Clippers,-0.74
17,2005,Washington Wizards,-0.38
18,2005,Philadelphia 76ers,-0.86
19,2005,Toronto Raptors,-1.63
20,2005,Golden State Warriors,-2.46
21,2005,New Jersey Nets,-1.73
22,2005,Los Angeles Lakers,-3.27
23,2005,Orlando Magic,-2.31
24,2005,New York Knicks,-2.66
25,2005,Milwaukee Bucks,-3.42
26,2005,Portland Trail Blazers,-4.37
27,2005,Utah Jazz,-4.72
28,2005,Charlotte Bobcats,-6.49
29,2005,New Orleans Hornets,-8.17
30,2005,Atlanta Hawks,-10.76
1,2004,San Antonio Spurs,8.23
2,2004,Minnesota Timberwolves,6.23
3,2004,Sacramento Kings,5.45
4,2004,Detroit Pistons,6.70
5,2004,Indiana Pacers,6.61
6,2004,Dallas Mavericks,4.92
7,2004,Los Angeles Lakers,4.16
8,2004,Memphis Grizzlies,2.60
9,2004,Houston Rockets,1.93
10,2004,New Jersey Nets,2.71
11,2004,Denver Nuggets,0.88
12,2004,Milwaukee Bucks,1.19
13,2004,Seattle SuperSonics,-0.69
14,2004,Golden State Warriors,-0.83
15,2004,Miami Heat,0.43
16,2004,Utah Jazz,-1.40
17,2004,Portland Trail Blazers,-1.47
18,2004,New Orleans Hornets,-0.12
19,2004,New York Knicks,-1.63
20,2004,Boston Celtics,-1.63
21,2004,Phoenix Suns,-4.02
22,2004,Philadelphia 76ers,-2.76
23,2004,Cleveland Cavaliers,-2.95
24,2004,Toronto Raptors,-3.53
25,2004,Los Angeles Clippers,-5.10
26,2004,Atlanta Hawks,-5.11
27,2004,Washington Wizards,-6.15
28,2004,Chicago Bulls,-6.88
29,2004,Orlando Magic,-7.78
1,2003,Dallas Mavericks,8.54
2,2003,Sacramento Kings,6.95
3,2003,San Antonio Spurs,5.96
4,2003,New Jersey Nets,5.62
5,2003,Detroit Pistons,4.14
6,2003,Utah Jazz,2.87
7,2003,Portland Trail Blazers,2.83
8,2003,Indiana Pacers,3.74
9,2003,Los Angeles Lakers,2.41
10,2003,Minnesota Timberwolves,2.31
11,2003,Houston Rockets,1.46
12,2003,Philadelphia 76ers,2.52
13,2003,Phoenix Suns,1.27
14,2003,New Orleans Hornets,2.33
15,2003,Seattle SuperSonics,-0.14
16,2003,Milwaukee Bucks,0.26
17,2003,Orlando Magic,0.12
18,2003,Golden State Warriors,-1.09
19,2003,Boston Celtics,-0.43
20,2003,Washington Wizards,-1.25
21,2003,New York Knicks,-1.47
22,2003,Memphis Grizzlies,-3.62
23,2003,Los Angeles Clippers,-4.51
24,2003,Atlanta Hawks,-3.86
25,2003,Chicago Bulls,-5.27
26,2003,Miami Heat,-5.78
27,2003,Toronto Raptors,-6.62
28,2003,Denver Nuggets,-9.06
29,2003,Cleveland Cavaliers,-10.23
1,2002,Sacramento Kings,8.08
2,2002,Los Angeles Lakers,7.77
3,2002,San Antonio Spurs,6.97
4,2002,Dallas Mavericks,4.59
5,2002,Minnesota Timberwolves,3.82
6,2002,New Jersey Nets,4.50
7,2002,Seattle SuperSonics,3.47
8,2002,Portland Trail Blazers,3.36
9,2002,Boston Celtics,2.40
10,2002,Detroit Pistons,2.33
11,2002,Utah Jazz,1.25
12,2002,Philadelphia 76ers,1.70
13,2002,Orlando Magic,1.67
14,2002,Charlotte Hornets,1.07
15,2002,Indiana Pacers,0.50
16,2002,Los Angeles Clippers,-0.38
17,2002,Phoenix Suns,-0.64
18,2002,Milwaukee Bucks,-0.22
19,2002,Toronto Raptors,-0.67
20,2002,Washington Wizards,-1.49
21,2002,Miami Heat,-1.88
22,2002,Cleveland Cavaliers,-3.76
23,2002,New York Knicks,-4.36
24,2002,Atlanta Hawks,-4.68
25,2002,Houston Rockets,-5.62
26,2002,Golden State Warriors,-5.71
27,2002,Denver Nuggets,-6.35
28,2002,Memphis Grizzlies,-8.19
29,2002,Chicago Bulls,-9.51
1,2001,San Antonio Spurs,8.72
2,2001,Sacramento Kings,6.08
3,2001,Utah Jazz,5.19
4,2001,Dallas Mavericks,4.63
5,2001,Portland Trail Blazers,4.53
6,2001,Los Angeles Lakers,3.59
7,2001,Philadelphia 76ers,4.63
8,2001,Milwaukee Bucks,4.18
9,2001,Houston Rockets,2.58
10,2001,Phoenix Suns,2.45
11,2001,New York Knicks,3.11
12,2001,Minnesota Timberwolves,1.61
13,2001,Miami Heat,2.49
14,2001,Toronto Raptors,2.41
15,2001,Charlotte Hornets,2.23
16,2001,Seattle SuperSonics,0.14
17,2001,Orlando Magic,1.06
18,2001,Indiana Pacers,-0.18
19,2001,Denver Nuggets,-2.77
20,2001,Detroit Pistons,-1.79
21,2001,Los Angeles Clippers,-3.17
22,2001,Boston Celtics,-2.39
23,2001,Cleveland Cavaliers,-4.60
24,2001,Vancouver Grizzlies,-6.35
25,New Jersey Nets,-5.63
26,2001,Atlanta Hawks,-5.66
27,2001,Washington Wizards,-7.21
28,2001,Golden State Warriors,-9.68
29,2001,Chicago Bulls,-10.21
1,2000,Los Angeles Lakers,9.05
2,2000,Portland Trail Blazers,7.08
3,2000,San Antonio Spurs,6.38
4,2000,Phoenix Suns,5.38
5,2000,Utah Jazz,4.88
6,2000,Indiana Pacers,4.95
7,2000,Sacramento Kings,3.04
8,2000,Minnesota Timberwolves,2.87
9,2000,Miami Heat,3.31
10,2000,Charlotte Hornets,2.79
11,2000,New York Knicks,1.58
12,2000,Detroit Pistons,1.60
13,2000,Seattle SuperSonics,0.87
14,2000,Philadelphia 76ers,1.44
15,2000,Orlando Magic,0.97
16,2000,Milwaukee Bucks,0.25
17,2000,Dallas Mavericks,-0.52
18,2000,Toronto Raptors,-0.06
19,2000,Houston Rockets,-1.02
20,2000,Boston Celtics,-0.85
21,2000,New Jersey Nets,-1.19
22,2000,Denver Nuggets,-2.25
23,2000,Washington Wizards,-3.42
24,2000,Cleveland Cavaliers,-3.81
25,2000,Vancouver Grizzlies,-6.17
26,2000,Atlanta Hawks,-5.78
27,2000,Golden State Warriors,-8.64
28,2000,Chicago Bulls,-10.43
29,2000,Los Angeles Clippers,-12.30